//Box of Luck Drop
//	type,	index,	level,	skill,	option
	0	6	0	0	0	0
	0	7	0	1	0	0
	0	8	0	1	0	0
	0	9	0	1	0	0
	0	5	0	1	0	0
	1	3	0	1	0	0
	1	4	0	1	0	0
	1	5	0	1	0	0
	2	2	0	1	0	0
	3	6	0	1	0	0
	3	1	0	1	0	0
	3	3	0	1	0	0
	4	2	0	1	0	0
	4	10	0	1	0	0
	4	3	0	1	0	0
	5	1	0	1	0	0
	5	2	0	1	0	0
	6	6	0	1	0	0
	6	10	0	1	0	0
	6	3	0	1	0	0
	6	9	0	1	0	0
	7	0	0	1	0	0
	7	6	0	1	0	0
	7	4	0	1	0	0
	7	11	0	1	0	0
	8	0	0	1	0	0
	8	6	0	1	0	0
	8	4	0	1	0	0
	8	11	0	1	0	0
	9	0	0	1	0	0
	9	6	0	1	0	0
	9	4	0	1	0	0
	9	11	0	1	0	0
	10	0	0	1	0	0
	10	6	0	1	0	0
	10	4	0	1	0	0
	10	11	0	1	0	0
	11	0	0	1	0	0
	11	6	0	1	0	0
	11	4	0	1	0	0
	11	11	0	1	0	0

//¾Ç¼¼»ç¸®
	//13	0	0	0	0	0
	//13	1	0	0	0	0
	//13	2	0	0	0	0
	//13	8	0	0	0	0
	//13	9	0	0	0	0
	//13	12	0	0	0	0
	13	13	0	0	0	0

//º¸¼®
	//14	13	0	0	0	0
	//14	14	0	0	0	0
	//14	17	6	0	0	0

//	È¥¼®
	//12	15	0	0	0	0
