////////////////////////////////////////////////////////////////////////////////
// EventManagement
////////////////////////////////////////////////////////////////////////////////
//WZ Events:
// 0:red dragon / 1:AttackEvent / 2:gold drogon / 3:white wizard
// | EVENT | HOUR | MIN |
0

1	0 	0
3	0 	0


1	2 	0
3	2 	0


1	4 	0
3	4 	0


1	6 	0
3	6 	0


1	8 	0
3	8 	0


1	10 	0

3	10 	0


1	12 	0

3	12 	0


1	14 	0

3	14 	0


1	16 	0

3	16 	0


1	19 	0

3	18 	0


1	21 	12

3	20 	0


1	22 	0

3	22 	0
end
// SCF Events:
// Type:
// 0 Blue Event
// 1 Sky Event
// 2 Boss Attack
// 3 Happy Hour Event
// 4 Hit and Up Event
// 5 Raklion Event
// 6 Moss Merchant
// 7 XMas Event
// 8 Green Event
// 9 Swamp of Peace Event
// 10 Summer Event
// 11 Halloween PK Event
// 12 Hide And Seek Event
// 13 Gens Close Map Event
// 14 Rain Item Event
// Month = -1
// Day = -1 (The event happens every day)
// DayofWeek (Remember that the first day would be Sunday) (if put -1, happens every day). 
// Hour&Min (Time) = format 24:00

//[Type][Month][Day][DayOfWeek][Hour][Min]
1
// 0 Blue Event
0	-1	-1	-1	00	15
0	-1	-1	-1	04	15
0	-1	-1	-1	08	15
0	-1	-1	-1	12	15
0	-1	-1	-1	16	15
0	-1	-1	-1	20	15
// 1 Sky Event
1	-1	-1	-1	01	05
1	-1	-1	-1	07	05
1	-1	-1	-1	13	05
1	-1	-1	-1	19	05

// 2 Boss Attack
2	-1	-1	-1	01	50
2	-1	-1	-1	04	50
2	-1	-1	-1	07	50
2	-1	-1	-1	10	50
2	-1	-1	-1	13	50
2	-1	-1	-1	16	50
2	-1	-1	-1	19	50
2	-1	-1	-1	22	50
// 3 Happy Hour Event
3	-1	-1	-1	02	05
3	-1	-1	-1	05	05
3	-1	-1	-1	08	05
3	-1	-1	-1	11	05
3	-1	-1	-1	14	05
3	-1	-1	-1	17	05
3	-1	-1	-1	20	05
3	-1	-1	-1	23	05
// 4 Hit and Up Event
4	-1	-1	-1	00	20
4	-1	-1	-1	04	20
4	-1	-1	-1	08	20
4	-1	-1	-1	12	20
4	-1	-1	-1	16	20
4	-1	-1	-1	20	20
// 5 Raklion Event
//5	-1	-1	-1	06	00
//5	-1	-1	-1	12	00
//5	-1	-1	-1	19	52
//5	-1	-1	-1	18	00
//5	-1	-1	-1	00	00

// 7 XMas Event
7	-1	-1	-1	04	10
7	-1	-1	-1	10	10
7	-1	-1	-1	16	10
7	-1	-1	-1	22	10
// 9 Swamp of Peace Event
//9	-1	-1	-1	06	00
//9	-1	-1	-1	12	00
//9	-1	-1	-1	20	00
//9	-1	-1	-1	01	26
// 10 Summer Event
10	-1	-1	-1	02	15
10	-1	-1	-1	06	15
10	-1	-1	-1	10	15
10	-1	-1	-1	14	15
10	-1	-1	-1	18	15
10	-1	-1	-1	22	15


end
